sample_id	R1	R2
HSF4_0H_1	01_raw/fastq/HSF4_0H_1_ZKRN250030468-1A_23F5KYLT4_L8_1.fq.gz	01_raw/fastq/HSF4_0H_1_ZKRN250030468-1A_23F5KYLT4_L8_2.fq.gz
HSF4_0H_2	01_raw/fastq/HSF4_0H_2_ZKRN250030469-1A_23F5KYLT4_L8_1.fq.gz	01_raw/fastq/HSF4_0H_2_ZKRN250030469-1A_23F5KYLT4_L8_2.fq.gz
HSF4_0H_3	01_raw/fastq/HSF4_0H_3_ZKRN250030470-1A_23F5KYLT4_L8_1.fq.gz	01_raw/fastq/HSF4_0H_3_ZKRN250030470-1A_23F5KYLT4_L8_2.fq.gz
HSF4_2H_1	01_raw/fastq/HSF4_2H_1_ZKRN250030471-1A_23F5KYLT4_L8_1.fq.gz	01_raw/fastq/HSF4_2H_1_ZKRN250030471-1A_23F5KYLT4_L8_2.fq.gz
HSF4_2H_2	01_raw/fastq/HSF4_2H_2_ZKRN250030472-1A_23F5KYLT4_L8_1.fq.gz	01_raw/fastq/HSF4_2H_2_ZKRN250030472-1A_23F5KYLT4_L8_2.fq.gz
HSF4_2H_3	01_raw/fastq/HSF4_2H_3_ZKRN250030473-1A_23F5KYLT4_L8_1.fq.gz	01_raw/fastq/HSF4_2H_3_ZKRN250030473-1A_23F5KYLT4_L8_2.fq.gz
HSF4_4H_1	01_raw/fastq/HSF4_4H_1_ZKRN250030474-1A_23F5KYLT4_L7_1.fq.gz	01_raw/fastq/HSF4_4H_1_ZKRN250030474-1A_23F5KYLT4_L7_2.fq.gz
HSF4_4H_2	01_raw/fastq/HSF4_4H_2_ZKRN250030475-1A_23F5KYLT4_L7_1.fq.gz	01_raw/fastq/HSF4_4H_2_ZKRN250030475-1A_23F5KYLT4_L7_2.fq.gz
HSF4_4H_3	01_raw/fastq/HSF4_4H_3_ZKRN250030476-1A_23F5KYLT4_L7_1.fq.gz	01_raw/fastq/HSF4_4H_3_ZKRN250030476-1A_23F5KYLT4_L7_2.fq.gz
HSF4_6H_1	01_raw/fastq/HSF4_6H_1_ZKRN250030477-1A_23F5KYLT4_L7_1.fq.gz	01_raw/fastq/HSF4_6H_1_ZKRN250030477-1A_23F5KYLT4_L7_2.fq.gz
HSF4_6H_2	01_raw/fastq/HSF4_6H_2_ZKRN250030478-1A_23F5KYLT4_L7_1.fq.gz	01_raw/fastq/HSF4_6H_2_ZKRN250030478-1A_23F5KYLT4_L7_2.fq.gz
HSF4_6H_3	01_raw/fastq/HSF4_6H_3_ZKRN250030479-1A_23F5KYLT4_L7_1.fq.gz	01_raw/fastq/HSF4_6H_3_ZKRN250030479-1A_23F5KYLT4_L7_2.fq.gz
